Model Name,Engine Type,HP or lbs thr ea engine,Max speed Knots,Rcmnd cruise Knots,Stall Knots dirty,Fuel gal/lbs,All eng rate of climb,Eng out rate of climb,Takeoff over 50ft,Landing over 50ft,Empty weight lbs,Length ft/in,Wing span ft/in,Range N.M.,Price
100 Darter (S.L. Industries),Piston,180,122,114,39,40,800,1275,900,"2,400","1,555",24/11,38/0,296,1300000
PA-28 C 150 Cherokee,Piston,180,123,117,45,30,800,1375,900,"2,350","1,520",23/6,34/0,305,1350000
100 Darter (S.L. Industries),Piston,150,109,97,50,30,700,1550,900,"2,150","1,450",23/6,34/0,320,950000
"PA-28 150,B 150 Cherokee",Piston,180,125,122,39,40,"1,000",1250,,"2,400","1,345",24/11,38/0,296,1350000
100 Darter (S.L. Industries),Piston,180,149,143,39,40,800,1275,900,"2,400","1,575",24/11,38/0,543,2000000
PA-28-151 Warrior (prior '77 stall=58),Piston,200,,130,39,40,"1,200",875,900,"2,600","1,535",24/11,38/0,455,1470000
100 Darter (S.L. Industries),Piston,200,135,130,39,40,"1,200",1050,950,"2,690","1,555",24/11,38/0,455,1470000
PA-36-375 Brave (spray restr. category),Piston,125,162,125,49,30,682,1496,1519,"1,750","1,160",20/4,28/9,505,nan
"PA-25 235 C,D Pawnee (normal category)",Jet,"3,300",496,435,106,2660,"4,050",,3440,"41,900","20,999",60/5,54/5,,4300000
100 Darter (S.L. Industries),Piston,90,96,83,37,25,660,1850,1540,"1,400",870,20/0,35/0,273,1600000
PA-22 135 Tri-Pacer,Piston,85,91,83,37,30,640,1850,1540,"1,400",791,19/8,34/7,346,1550000
100 Darter (S.L. Industries),Piston,65,91,78,37,14,550,1950,1540,"1,260",750,19/8,34/7,182,1400000
PA-18 150 Super Cub,Piston,325,260,250,77,165,"1,955",1980,2076,Orig,200,Orig,Orig,"1,137",nan
PA-18 95 Super Cub,Piston,160,,135,40,40,825,1180,500,"2,200","1,330",23/5,32/9,540,1300000
100 Darter (S.L. Industries),Piston,180,,140,40,40,920,1150,500,"2,400","1,350",23/5,32.9,500,1500000
100 Darter (S.L. Industries),Piston,235,,148,30,40,"1,350",600,600,"2,500","1,500",22/9,33/2,478,2000000
PA-11,Piston,235,157,129,38,40,"1,900",540,540,"2,500","1,425",23/6,33/2,360,2000000
100 Darter (S.L. Industries),Piston,235,,150,33,40,"1,350",600,600,"2,300","1,400",23/6,30/10,360,2000000
Kodiak 100,Piston,220,157,150,33,42,"1,250",585,600,"2,300","1,300",23/2,30/10,485,1900000
G3,Piston,210,,170,33,40,"1,250",600,600,"2,300","1,400",22/9,30/10,430,2000000
Super 340 (Cessna 340 conversion),Piston,210,157,137,33,40,"1,250",600,600,"2,300","1,350",22/9,30/10,345,1800000
100 Darter (S.L. Industries),Piston,180,,136,33,40,900,800,600,"2,300","1,300",22/9,30/10,525,1500000
TurboStream (Cessna 310 & 320 conv) 310hp,Piston,220,157,152,35,42,"1,250",600,650,"2,300","1,280",22/0,29/8,530,1900000
100 Darter (S.L. Industries),Piston,210,157,143,35,42,"1,250",585,600,"2,100","1,250",22/0,29/8,500,1800000
Rocket (Cessna 310 conversion),Piston,180,148,135,35,42,"1,000",700,600,"2,300","1,250",22/6,29/8,525,1700000
305 Rocket,Piston,145,157,130,35,42,700,900,600,"2,100","1,100",22/0,29/8,750,1200000
100 Darter (S.L. Industries),Piston,967,151,109,54,106,"1,400",,1600,"9,300","5,500",31/2,58/0,,2500000
100 Darter (S.L. Industries),Jet,"2,900",456,438,,4260,"3,180",3950,2930,"15,780","9,925",48/5,43/6,"1,530",4100000
"200 D Meyers (Prop Jets, Inc.)",Jet,"2,500",430,400,77,4260,"3,050",3850,2800,"14,630",9410,48/5,43/6,"1,513",4100000
100 Darter (S.L. Industries),Jet,"2,500",434,410,77,646,"3,000",4100,2700,"13,890","8,300",48/4,43/5,"1,510",4100000
"200 Meyers (Prop Jets, Inc.)",Propjet,778,309,296,77,403,"2,200",2170,1880,"11,575","7,650",39/5,39/2,"1,391",2975000
100 Darter (S.L. Industries),Propjet,727,322,313,73,403,"2,350",1800,1600,"10,470","7,010",33/3,39/2,"1,600",3350000
100 Darter (S.L. Industries),Propjet,724,317,304,73,364,"2,840",1800,1600,"10,470","6,864",33/3,39/2,"1,250",3220000
100 Darter (S.L. Industries),Propjet,776,296,283,77,364,"2,630",2170,1880,"11,575","7,570",39/5,39/2,"1,200",2960000
100 Darter (S.L. Industries),Propjet,724,317,270,71,366,"3,100",1700,1490,"9,920","5,920",33/3,39/2,"1,175",3320000
Sabre 75A,Propjet,724,300,265,73,366,"2,690",1870,1670,"10,800","6,800",39/5,39/2,"1,150",3080000
100 Darter (S.L. Industries),Propjet,705,283,261,73,366,"2,590",1890,1670,"10,800","6,700",39/5,39/2,"1,100",2700000
Sabre 65,Propjet,705,296,270,71,366,"2,875",1700,1320,"9,920","5,790",33/3,39/2,"1,150",3040000
100 Darter (S.L. Industries),Propjet,605,261,,64,285,"2,000",1600,1100,"8,930","5,730",33/3,39/2,880,2600000
100 Darter (S.L. Industries),Piston,280,242,237,59,100,1380,,,3374,2370,26/9,36/5,1852,2500000
Sting Sport S3,Jet,280,242,175,56,89,1375,2100,2650,3368,2380,26/8,36/6,1275,2500000
108-3,Piston,270,236,223,58,96,"1,230",2050,2600,"3,368","2,353",26/11,36/1,,2500000
108-1,Piston,280,197,191,60,95,"1,200",1700,1600,"3,368","2,200",26/9,36/1,900,2100000
GC-1B,Piston,217,161,,57,61,"1,030",2550,1910,"2,900","2,003",26/11,36/1,,1930000
SA-160,Piston,310,217,200,60,92,"1,120",2079,1549,"3,680","2,380",26/1,35/0,813,2400000
F-21B,Piston,310,197,170,59,100,1300,2600,2500,3380,2250,26/8,36/6,1450,2000000
100 Darter (S.L. Industries),Piston,220,213,197,60,80,"1,300",2000,2320,"3,100","2,000",25/5,36/1,"1,100",2500000
P2006T,Piston,210,219,201,59,75,"1,080",2200,2300,"2,900","1,800",25/5,36/1,980,2800000
A-36 Bonanza Prop Jet,Piston,200,178,171,54,64,"1,060",1700,1600,"2,740","1,710",24/8,36/1,690,1860000
1000 Jet Prop,Piston,210,201,191,57,75,"1,080",2060,2280,"2,900","1,800",25/5,36/1,980,2400000
100 Darter (S.L. Industries),Piston,200,175,170,53,64,"1,030",1550,1550,"2,740","1,671",24/8,36/1,690,1880000
900 Jet Prop,Piston,200,161,156,54,64,"1,055",1385,1786,"2,740","1,640",24/0,35/0,734,1880000
100 Darter (S.L. Industries),Piston,200,165,160,50,52,"1,125",1550,1550,"2,575","1,600",23/2,35/0,601,2120000
"690A, Prop Jet (690 length=43/0 & height=14/11)",Piston,180,155,147,50,52,875,1250,1670,"2,525","1,585",24/3,35/0,627,1700000
100 Darter (S.L. Industries),Piston,180,147,143,50,52,800,1395,1610,"2,575","1,525",23/2,35/0,659,1650000
720 Alti-Cruiser,Piston,180,153,150,50,52,860,1395,1550,"2,575","1,525",23/2,35/0,659,1950000
100 Darter (S.L. Industries),Piston,200,171,163,50,52,"1,110",1300,1365,"2,575","1,575",23/2,35/0,601,1880000
685 pressurized,Piston,180,165,158,50,52,800,1250,1550,"2,575","1,525",23/2,35/0,659,1720000
100 Darter (S.L. Industries),Piston,180,165,158,50,52,"1,150",1050,1100,"2,450","1,525",23/2,35/0,745,1850000
680 W Turbo II Prop Jet,Piston,180,165,157,50,35,"1,150",1050,1100,"2,450","1,440",23/1,35/0,513,2000000
100 Darter (S.L. Industries),Piston,150,149,143,50,35,900,1150,1100,"2,450","1,415",23/1,35/0,655,1720000
680 FLP Pressurized Grand,Piston,180,128,117,50,52,740,1125,1100,"2,500","1,455",23/2,35/0,715,1360000
100 Darter (S.L. Industries),Piston,90,103,96,40,24,835,953,1016,"1,450",950,20/8,30/0,484,1250000
680 FL Grand,Piston,90,112,108,39,24,640,1250,1350,"1,450",950,20/0,30/0,456,1730000
100 Darter (S.L. Industries),Piston,65,123,109,37,12,"1,000",1000,1000,850,575,17/7,26/1,,1940000
100 Darter (S.L. Industries),Piston,285,177,166,48,40,"1,375",980,980,"3,315","2,000",27/5,34/9,335,2150000
560 F,Piston,260,160,156,51,108,"1,150",980,980,"3,315","1,925",27/5,34/5,"1,043",2050000
100 Darter (S.L. Industries),Piston,260,165,147,57,40,"1,110",1100,1100,"2,850","1,950",27/3,33/3,340,1660000
560 A-HC,Piston,205,142,135,57,40,"1,050",900,1100,"2,750","1,782",27/3,33/3,430,1560000
560,Propjet,850,400,,90,2630,"3,000",2630,2650,"10,810","7,200",47/3,46/0,"1,746",4100000
500 U,Propjet,1200,270,265,64,402,"1,680",2300,1830,"9,920","5,732",47/3,53/3,"2,261",3000000
500 A,Propjet,1000,351,334,,3819,"3,242",1930,2280,"12,050","7,856",43/5,47/8,"1,879",4100000
100 Darter (S.L. Industries),Propjet,720,312,288,89,578,"2,380",2280,3043,"11,200","6,837",43/5,47/8,"1,722",3584000
520,Propjet,720,290,275,87,390,"2,236",3230,3017,"11,200","6,389",43/5,47/8,"1,515",3200000
2180,Propjet,620,275,270,77,382,"1,750",2940,2446,"9,474","5,164",36/8,42/8,"1,336",3240000
2150A Kachina,Propjet,620,283,269,75,382,"2,710",1980,2480,"9,000","5,018",34/8,42/8,"1,444",3160000
